
"Number of searchable structures per year."
"Note: searchable structures vary over time as some become obsolete and are removed from the database."
"Year","Yearly","Total"
"2017","434.0","1768.0"
"2016","407.0","1334.0"
"2015","216.0","927.0"
"2014","186.0","711.0"
"2013","118.0","525.0"
"2012","65.0","407.0"
"2011","53.0","342.0"
"2010","53.0","289.0"
"2009","40.0","236.0"
"2008","41.0","196.0"
"2007","19.0","155.0"
"2006","26.0","136.0"
"2005","23.0","110.0"
"2004","12.0","87.0"
"2003","29.0","75.0"
"2002","24.0","46.0"
"2001","9.0","22.0"
"2000","11.0","13.0"
"1999","1.0","2.0"
"1998","0.0","1.0"
"1997","1.0","1.0"
"1996","0.0","0.0"
"1995","0.0","0.0"
"1994","0.0","0.0"
"1993","0.0","0.0"
"1992","0.0","0.0"
"1991","0.0","0.0"
"1990","0.0","0.0"
"1989","0.0","0.0"
"1988","0.0","0.0"
"1987","0.0","0.0"
"1986","0.0","0.0"
"1985","0.0","0.0"
"1984","0.0","0.0"
"1983","0.0","0.0"
"1982","0.0","0.0"
"1981","0.0","0.0"
"1980","0.0","0.0"
"1979","0.0","0.0"
"1978","0.0","0.0"
"1977","0.0","0.0"
"1976","0.0","0.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
