Date,Yearly,Total
2017,336,12042
2016,455,11706
2015,436,11251
2014,552,10815
2013,506,10263
2012,537,9757
2011,524,9220
2010,521,8696
2009,568,8175
2008,653,7607
2007,965,6954
2006,861,5989
2005,874,5128
2004,729,4254
2003,531,3525
2002,441,2994
2001,414,2553
2000,371,2139
1999,390,1768
1998,331,1378
1997,329,1047
1996,188,718
1995,190,530
1994,222,340
1993,74,118
1992,11,44
1991,23,33
1990,7,10
1989,2,3
1988,0,1
1987,0,1
1986,1,1
1985,0,0
1984,0,0
1983,0,0
1982,0,0
1981,0,0
1980,0,0
1979,0,0
1978,0,0
1977,0,0
1976,0,0
1975,0,0
1974,0,0
1973,0,0
1972,0,0
