Date,Yearly,Total
2017,8292,120416
2016,9986,112124
2015,8623,102138
2014,8844,93515
2013,8723,84671
2012,8161,75948
2011,7360,67787
2010,7175,60427
2009,6667,53252
2008,6204,46585
2007,6147,40381
2006,5512,34234
2005,4434,28722
2004,4395,24288
2003,3590,19893
2002,2528,16303
2001,2387,13775
2000,2234,11388
1999,1960,9154
1998,1723,7194
1997,1234,5471
1996,981,4237
1995,748,3256
1994,1057,2508
1993,622,1451
1992,181,829
1991,162,648
1990,135,486
1989,71,351
1988,52,280
1987,25,228
1986,17,203
1985,20,186
1984,22,166
1983,36,144
1982,32,108
1981,16,76
1980,7,60
1979,11,53
1978,6,42
1977,23,36
1976,13,13
1975,0,0
1974,0,0
1973,0,0
1972,0,0
