
"Number of searchable structures per year."
"Note: searchable structures vary over time as some become obsolete and are removed from the database."
"Year","Yearly","Total"
"2017","227.0","11936.0"
"2016","456.0","11709.0"
"2015","436.0","11253.0"
"2014","553.0","10817.0"
"2013","507.0","10264.0"
"2012","537.0","9757.0"
"2011","524.0","9220.0"
"2010","521.0","8696.0"
"2009","568.0","8175.0"
"2008","653.0","7607.0"
"2007","965.0","6954.0"
"2006","861.0","5989.0"
"2005","874.0","5128.0"
"2004","729.0","4254.0"
"2003","531.0","3525.0"
"2002","441.0","2994.0"
"2001","414.0","2553.0"
"2000","371.0","2139.0"
"1999","390.0","1768.0"
"1998","331.0","1378.0"
"1997","329.0","1047.0"
"1996","188.0","718.0"
"1995","190.0","530.0"
"1994","222.0","340.0"
"1993","74.0","118.0"
"1992","11.0","44.0"
"1991","23.0","33.0"
"1990","7.0","10.0"
"1989","2.0","3.0"
"1988","0.0","1.0"
"1987","0.0","1.0"
"1986","1.0","1.0"
"1985","0.0","0.0"
"1984","0.0","0.0"
"1983","0.0","0.0"
"1982","0.0","0.0"
"1981","0.0","0.0"
"1980","0.0","0.0"
"1979","0.0","0.0"
"1978","0.0","0.0"
"1977","0.0","0.0"
"1976","0.0","0.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
