
"Number of searchable structures per year."
"Note: searchable structures vary over time as some become obsolete and are removed from the database."
"Year","Yearly","Total"
"2017","5988.0","118154.0"
"2016","10002.0","112166.0"
"2015","8630.0","102164.0"
"2014","8846.0","93534.0"
"2013","8729.0","84688.0"
"2012","8162.0","75959.0"
"2011","7363.0","67797.0"
"2010","7176.0","60434.0"
"2009","6667.0","53258.0"
"2008","6204.0","46591.0"
"2007","6148.0","40387.0"
"2006","5513.0","34239.0"
"2005","4436.0","28726.0"
"2004","4395.0","24290.0"
"2003","3590.0","19895.0"
"2002","2530.0","16305.0"
"2001","2387.0","13775.0"
"2000","2234.0","11388.0"
"1999","1960.0","9154.0"
"1998","1723.0","7194.0"
"1997","1234.0","5471.0"
"1996","981.0","4237.0"
"1995","748.0","3256.0"
"1994","1057.0","2508.0"
"1993","622.0","1451.0"
"1992","181.0","829.0"
"1991","162.0","648.0"
"1990","135.0","486.0"
"1989","71.0","351.0"
"1988","52.0","280.0"
"1987","25.0","228.0"
"1986","17.0","203.0"
"1985","20.0","186.0"
"1984","22.0","166.0"
"1983","36.0","144.0"
"1982","32.0","108.0"
"1981","16.0","76.0"
"1980","7.0","60.0"
"1979","11.0","53.0"
"1978","6.0","42.0"
"1977","23.0","36.0"
"1976","13.0","13.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
