Date,Yearly,Total
2017-01-01,290,1626
2016-01-01,408,1336
2015-01-01,216,928
2014-01-01,186,712
2013-01-01,118,526
2012-01-01,65,408
2011-01-01,53,343
2010-01-01,54,290
2009-01-01,40,236
2008-01-01,41,196
2007-01-01,19,155
2006-01-01,26,136
2005-01-01,23,110
2004-01-01,12,87
2003-01-01,29,75
2002-01-01,24,46
2001-01-01,9,22
2000-01-01,11,13
1999-01-01,1,2
1998-01-01,0,1
1997-01-01,1,1
1996-01-01,0,0
1995-01-01,0,0
1994-01-01,0,0
1993-01-01,0,0
1992-01-01,0,0
1991-01-01,0,0
1990-01-01,0,0
1989-01-01,0,0
1988-01-01,0,0
1987-01-01,0,0
1986-01-01,0,0
1985-01-01,0,0
1984-01-01,0,0
1983-01-01,0,0
1982-01-01,0,0
1981-01-01,0,0
1980-01-01,0,0
1979-01-01,0,0
1978-01-01,0,0
1977-01-01,0,0
1976-01-01,0,0
