
"Number of searchable structures per year."
"Note: searchable structures vary over time as some become obsolete and are removed from the database."
"Year","Yearly","Total"
"2017","8292.0","120416.0"
"2016","9986.0","112124.0"
"2015","8623.0","102138.0"
"2014","8844.0","93515.0"
"2013","8723.0","84671.0"
"2012","8161.0","75948.0"
"2011","7360.0","67787.0"
"2010","7175.0","60427.0"
"2009","6667.0","53252.0"
"2008","6204.0","46585.0"
"2007","6147.0","40381.0"
"2006","5512.0","34234.0"
"2005","4434.0","28722.0"
"2004","4395.0","24288.0"
"2003","3590.0","19893.0"
"2002","2528.0","16303.0"
"2001","2387.0","13775.0"
"2000","2234.0","11388.0"
"1999","1960.0","9154.0"
"1998","1723.0","7194.0"
"1997","1234.0","5471.0"
"1996","981.0","4237.0"
"1995","748.0","3256.0"
"1994","1057.0","2508.0"
"1993","622.0","1451.0"
"1992","181.0","829.0"
"1991","162.0","648.0"
"1990","135.0","486.0"
"1989","71.0","351.0"
"1988","52.0","280.0"
"1987","25.0","228.0"
"1986","17.0","203.0"
"1985","20.0","186.0"
"1984","22.0","166.0"
"1983","36.0","144.0"
"1982","32.0","108.0"
"1981","16.0","76.0"
"1980","7.0","60.0"
"1979","11.0","53.0"
"1978","6.0","42.0"
"1977","23.0","36.0"
"1976","13.0","13.0"
"1975","0.0","0.0"
"1974","0.0","0.0"
"1973","0.0","0.0"
"1972","0.0","0.0"
