Release	Date	Number of entries	Number of amino acids
2	09/86	3939	900163
3	11/86	4160	969641
4	04/87	4387	1036010
5	09/87	5205	1327683
6	01/88	6102	1653982
7	04/88	6821	1885771
8	08/88	7724	2224465
9	11/88	8702	2498140
10	03/89	10008	2952613
11	07/89	10856	3265966
12	10/89	12305	3797482
13	01/90	13837	4347336
14	04/90	15409	4914264
15	08/90	16941	5486399
16	11/90	18364	5986949
17	02/91	20024	6524504
18	05/91	20772	6792034
19	08/91	21795	7173785
20	11/91	22654	7500130
21	03/92	23742	7866596
22	05/92	25044	8375696
23	08/92	26706	9011391
24	12/92	28154	9545427
25	04/93	29955	10214020
26	07/93	31808	10875091
27	10/93	33329	11484420
28	02/94	36000	12496420
29	06/94	38303	13464008
30	10/94	40292	14147368
31	02/95	43470	15335248
32	11/95	49340	17385503
33	02/96	52205	18531384
34	10/96	59021	21210389
35	11/97	69113	25083768
36	07/98	74019	26840295
37	12/98	77977	28268293
38	07/99	80000	29085965
39	05/00	86593	31411114
40	10/01	101602	37315215
41	02/03	122564	44986459
42	10/03	135850	50046799
43	03/04	146720	54093154
44	07/04	153871	56608159
45	10/04	163235	59631787
46	02/05	168297	61443278
47	05/05	181571	65746672
48	09/05	194317	70391852
49	02/06	207132	75438310
50	05/06	222289	81585146
51	10/06	241242	88541632
52	03/07	260167	95638062
53	05/07	269293	98902758
54	07/07	276256	101466206
55	02/08	356194	127836513
56	07/08	392667	141217034
57	03/09	428650	154416236
