Date	Total
09/86	3939
11/86	4160
04/87	4387
09/87	5205
01/88	6102
04/88	6821
08/88	7724
11/88	8702
03/89	10008
07/89	10856
10/89	12305
01/90	13837
04/90	15409
08/90	16941
11/90	18364
02/91	20024
05/91	20772
08/91	21795
11/91	22654
03/92	23742
05/92	25044
08/92	26706
12/92	28154
04/93	29955
07/93	31808
10/93	33329
02/94	36000
06/94	38303
10/94	40292
02/95	43470
11/95	49340
02/96	52205
10/96	59021
11/97	69113
07/98	74019
12/98	77977
07/99	80000
05/00	86593
10/01	101602
02/03	122564
10/03	135850
03/04	146720
07/04	153871
10/04	163235
02/05	168297
05/05	181571
09/05	194317
02/06	207132
05/06	222289
10/06	241242
03/07	260167
05/07	269293
07/07	276256
02/08	356194
07/08	392667
03/09	428650
03/10	516081
04/10	516603
05/10	517100
06/10	517802
07/10	518415
08/10	519348
10/10	521016
11/10	523151
01/11	524420
02/11	525207
03/11	525997
04/11	526969
05/11	528048
05/11	529056
06/11	530264
07/11	531473
09/11	532146
01/12	534242
02/12	534695
03/12	535248
04/12	535698
05/12	536029
06/12	536489
07/12	536789
09/12	537505
10/12	538010
10/12	538259
11/12	538585
01/13	538849
02/13	539165
03/13	539616
04/13	539829
05/13	540052
05/13	540261
06/13	540546
07/13	540732
09/13	540958
10/13	541561
11/13	541762
01/14	542258
02/14	542503
03/14	542782
04/14	544996
05/14	545388
06/14	545536
07/14	546000
09/14	546238
10/14	546439
10/14	546790
11/14	547085
02/15	547599
03/15	547964
04/15	548208
04/15	548454
05/15	548586
06/15	548872
07/15	549008
09/15	549215
10/15	549646
11/15	549832
12/15	550116
01/16	550299
02/16	550552
03/16	550740
04/16	550960
05/16	551193
06/16	551385
07/16	551705
09/16	551987
10/16	552259
11/16	553231
01/17	553474
02/17	553655
03/17	553941
04/17	554241
05/17	554515
06/17	554860
07/17	555100
