Date,Yearly,Total
2017,8440,124909
2016,10046,116469
2015,8595,106423
2014,8756,97828
2013,8789,89072
2012,8174,80283
2011,7457,72109
2010,7280,64652
2009,6906,57372
2008,6524,50466
2007,6777,43942
2006,6019,37165
2005,5008,31146
2004,4809,26138
2003,3829,21329
2002,2765,17500
2001,2593,14735
2000,2391,12142
1999,2117,9751
1998,1842,7634
1997,1374,5792
1996,965,4418
1995,845,3453
1994,1202,2608
1993,629,1406
1992,156,777
1991,167,621
1990,132,454
1989,62,322
1988,50,260
1987,18,210
1986,17,192
1985,19,175
1984,22,156
1983,35,134
1982,28,99
1981,14,71
1980,7,57
1979,10,50
1978,4,40
1977,23,36
1976,13,13
1975,0,0
1974,0,0
1973,0,0
1972,0,0
